***************SYNCFREQ: 1 ***************
100000,4449827,1
200000,234465,2
300000,188894,3
400000,188622,4
500000,185271,5
600000,178089,6

***************SYNCFREQ: 8 ***************
99993,8576834,1
199986,1838053,2
299979,1439442,3
399972,1392731,4
499965,1332882,5
599958,1341549,6

***************SYNCFREQ: 64 ***************
99969,8932981,1
199938,15950109,2
299907,12057849,3
399876,8422669,4
499845,7964094,5
599814,7684406,6

***************SYNCFREQ: 512 ***************
99841,9751518,1
199682,16581544,2
299523,19552811,3
399364,17724242,4
499205,19828560,5
599046,18689945,6

***************SYNCFREQ: 4096 ***************
98305,9386847,1
196610,17179304,2
294915,21530856,3
393220,23430075,4
491525,23191012,5
589830,23222927,6

***************SYNCFREQ: 32768 ***************
98305,8672238,1
196610,17624099,2
294915,21928984,3
393220,27886693,4
491525,29525281,5
589830,32468258,6

