***************SYNCFREQ: 1 ***************
18349286,1
21020265,2
25491498,3
27999635,4
30923243,5

***************SYNCFREQ: 8 ***************
26424642,1
44891900,2
63814765,3
81437434,4
88983634,5

***************SYNCFREQ: 64 ***************
33520118,1
68305050,2
102277038,3
132292135,4
140180530,5

***************SYNCFREQ: 512 ***************
34108724,1
72084659,2
108075443,3
139257915,4
146905634,5

***************SYNCFREQ: 4096 ***************
34556383,1
70989828,2
107715321,3
138719458,4
152127635,5

***************SYNCFREQ: 32768 ***************
34848064,1
73365549,2
110118729,3
142719800,4
151279373,5

