***************SYNCFREQ: 1 ***************
18939945,1
20994294,2
25697603,3
28342835,4
30625533,5

***************SYNCFREQ: 8 ***************
27463593,1
43768834,2
64298754,3
82408180,4
88339224,5

***************SYNCFREQ: 64 ***************
34856407,1
69834212,2
104880369,3
135912965,4
144566398,5

***************SYNCFREQ: 512 ***************
36412657,1
73695721,2
112164060,3
144229991,4
149092243,5

***************SYNCFREQ: 4096 ***************
35674921,1
75090423,2
112102838,3
141693706,4
152719600,5

***************SYNCFREQ: 32768 ***************
36078187,1
75218383,2
112843698,3
117619153,4
151842854,5

