***************SYNCFREQ: 1 ***************
20377882,1
26160629,2
28093404,4
34708433,6
38150347,8
38167177,10
37670486,12
37384123,14
37808853,16

***************SYNCFREQ: 8 ***************
29839111,1
47128088,2
83291830,4
100211380,6
116351162,8
110328194,10
108819112,12
106571760,14
108236258,16

***************SYNCFREQ: 64 ***************
36755141,1
72377899,2
136387541,4
154467755,6
170247063,8
161550933,10
159242723,12
160039305,14
160476513,16

***************SYNCFREQ: 512 ***************
36944855,1
75798448,2
145742848,4
162276068,6
179150210,8
171247190,10
170282665,12
162148217,14
170615882,16

***************SYNCFREQ: 4096 ***************
38369495,1
77163444,2
146743689,4
163528951,6
179406330,8
172441287,10
169218245,12
166203399,14
161229703,16

***************SYNCFREQ: 32768 ***************
38568408,1
76999066,2
146927627,4
164273948,6
180249267,8
172926292,10
166222452,12
168048556,14
169584110,16

